,Instruct,Cache Miss,Branch Miss,Cache R,Cache W,LL1 Data C,LL1 Instruct Cache,LLC,D TLB,Instruct Cache,Y
497,98755673,1627804,226678,8889893,226678,8098911,9.41859E+13,250405,8098911,67666,0
498,13921849,1703100,185671,21369246,185671,5513643,1.40732E+14,197998,5513643,36333,0
499,13921849,1703100,155288,6642786,155288,1842770,0,146946,1842770,23984,0
500,28984193,2845921,309799,2240899,309799,606410,1.40732E+14,60241,606410,11535,0
501,24904338,1528365,146405,5255410,146405,1750745,9.39016E+13,130844,1750745,24723,0
502,32410556,1294978,139658,21478325,139658,10209064,1.40732E+14,330862,10209064,88528,0
503,32410556,1294978,145113,4320286,145113,3776267,0,237889,3776228,58724,0
504,30257405,1863058,190044,7342872,190044,25428239,1.40736E+14,584916,25428239,73493,0
505,30699339,1271016,164356,691787,164356,2109405,9.48669E+13,164197,2109405,29341,0
506,5193292,1204552,119028,3493056,119028,4254658,1.40736E+14,202461,4254658,50715,0
507,5193292,1204552,275416,4298590,275416,679896,0,101048,679857,13857,0
508,39016331,3436140,490431,9270542,490431,19129106,1.40737E+14,485669,19129106,37624,0
509,7125788,2610867,259717,3821468,259717,1522240,9.48913E+13,115980,1522199,24307,0
510,9107226,676026,74716,2033183,74716,2673487,1.40737E+14,125568,2673487,23488,0
511,9107226,676026,141564,1696585,141564,10588765,0,308222,10588765,94426,0
512,53445331,1522418,168837,3652719,168837,34112457,1.40736E+14,975716,34112416,176287,0
513,15849318,717116,78977,2304371,78977,5930881,9.39357E+13,217775,5930881,42570,0
514,15377338,4262721,566052,5162939,566052,1447691,1.40736E+14,117634,1447691,14015,0
515,15377338,4262721,138977,4728131,138977,5790920,0,213295,5790920,51508,0
516,13351991,1034518,134749,2235211,134749,5061544,1.40727E+14,183700,5061544,49367,0
517,9477158,2328809,230862,2400072,230862,6182543,9.39657E+13,194442,6182504,57752,0
518,115884835,1833779,201630,22210610,201630,3888625,1.40727E+14,218126,3890008,50410,0
519,115884835,1833779,139396,4826446,139396,4584389,0,195593,4585230,40779,0
520,29323152,2390382,274633,2697280,274633,3740680,1.40737E+14,266190,3740680,50550,0
521,14296584,1763966,181402,22714146,181402,4534568,9.48396E+13,224555,4534568,45283,0
522,81796942,1758548,215732,7992162,215732,8006461,1.40737E+14,140324,8006421,55395,0
523,81796942,1758548,141492,3629402,141492,2635638,0,109139,2635638,34488,0
524,4739524,5225051,603075,21099471,603075,7111613,1.40729E+14,198188,7111574,75374,0
525,26125825,11964439,1331720,29186217,1331720,13691133,9.41512E+13,687897,13691133,118139,0
526,100758279,4511656,497474,18344487,497474,210213416,1.40729E+14,4679520,210213416,732302,0
527,100758279,4511656,455225,6449023,455225,8616125,0,152122,8616125,48380,0
528,73762032,7196358,873695,42166480,873695,10263130,1.40721E+14,359410,10263130,90541,0
529,24361866,2387679,647646,7670180,647646,7621620,9.44209E+13,362472,7625311,92050,0
530,119768729,3303282,546116,26324787,546116,19254471,1.40721E+14,670880,19254471,200930,0
531,119768729,3303282,716582,9905486,716582,26280443,0,807653,26280403,243422,0
532,617909173,4366574,945349,206363955,945349,246613664,1.40726E+14,4382681,246613624,2086237,0
533,1694267422,5619742,1292026,131809224,1292026,366393970,9.46653E+13,6037768,366398262,3106202,0
534,586906385,13835999,6396615,149674108,6396615,255425265,1.40726E+14,4714690,255425265,2237379,0
535,586906385,13835999,6267411,241677014,6267411,964393505,0,7521785,964393505,3428503,0
536,8793636,5995626,1762383,2381639,1762383,2367355,1.40729E+14,85435,2367355,29953,0
537,28098186,6469044,1764986,23656858,1764986,6830000,9.44007E+13,175326,6830000,52550,0
538,32639177,9674299,2435385,1937321,2435385,7562795,1.40729E+14,401453,7562795,93471,0
539,32639177,9674299,2492326,4285731,2492326,1249173,0,100124,1249135,14232,0
540,30917349,1800315,172412,2255768,172412,4004493,1.40736E+14,137852,4004675,34940,0
541,64707160,1357220,135951,714320,135951,2767079,9.42537E+13,165798,2766964,30748,0
542,17610236,3580192,526372,9410972,526372,5301831,1.40736E+14,181919,5300878,59568,0
543,17610236,3580192,156690,4628773,156690,20096617,0,497924,20096617,38688,0
544,18641408,1764545,217507,27097926,217507,6002216,1.40733E+14,121778,6002216,44246,0
545,17906792,2680397,279972,10171807,279972,3185343,9.39436E+13,171659,3185343,40075,0
546,10851906,2850918,431418,27025890,431418,7382021,1.40733E+14,278277,7381980,71991,0
547,10851906,2850918,107392,17436619,107392,19964934,0,557686,19964934,43920,0
548,37407660,2001633,1230463,4962204,1230463,3876348,1.40721E+14,188227,3876348,37862,0
549,81805875,994367,123531,1608834,123531,3263335,9.39927E+13,93223,3263335,31147,0
550,64762393,2484585,255396,4512892,255396,3951477,1.40721E+14,239588,3951477,60960,0
551,64762393,2484585,414216,4485156,414216,4734249,0,212300,4734209,44800,0
552,12090543,1185867,145145,19056377,145145,6292207,1.40735E+14,212757,6292207,53313,0
553,16477663,2107715,214326,4538696,214326,3373700,9.39982E+13,142145,3373661,30194,0
554,96187461,1353637,190692,5121669,190692,3147180,1.40735E+14,184948,3144457,40238,0
555,96187461,1353637,246610,4930586,246610,2500608,0,148279,2500608,29024,0
556,31652844,2093811,216553,2118024,216553,4284494,1.40724E+14,228115,4284494,54841,0
557,8745327,1720777,165168,5045984,165168,4511014,9.42213E+13,139822,4511014,36787,0
558,28047514,1051524,141818,5145092,141818,5442954,1.40724E+14,184644,5442914,50500,0
559,28047514,1051524,177561,20571255,177561,3081618,0,152921,3081618,28923,0
560,44849067,736598,89736,3695765,89736,4670716,1.40733E+14,207582,4670675,48695,0
